target,metric,horizon,cat,lgb,lgb_tuned,xgb
close,mae,20,101.06296391505613,102.95425166742349,107.0162073836401,106.27243774616521
close,mae,60,162.68547971012703,166.18277104463175,170.73297450003437,172.25087242731828
close,mase,20,3.5413410313288427,3.5407502092769696,3.6217504599547214,3.534691256593572
close,mase,60,5.575062715351797,5.632281836997896,5.698607913352616,5.650367262940441
close,rmse,20,115.51981670583888,117.00403469361932,121.50039305618161,120.8689502974823
close,rmse,60,187.670266335291,190.77900420424407,196.2962814866987,199.23100111728533
close,smape,20,0.014402537376956884,0.014374255087018728,0.014682564913478474,0.014317279813376755
close,smape,60,0.02305831770344203,0.023182853143131628,0.023427748607698928,0.023148595139153613
log_return,mae,20,0.008560086386200757,0.008650492980914606,0.008672630537751101,0.008747688841105205
log_return,mae,60,0.008700168990900191,0.008819236584721873,0.008805596863007921,0.00892063990976663
log_return,mase,20,0.37953993396181035,0.3840286098929924,0.3841765598511615,0.38816653898934994
log_return,mase,60,0.3851422690082628,0.39084768044357526,0.38974743346886365,0.3949002193678019
log_return,rmse,20,0.011241329177443873,0.011334538946593788,0.011350885741238334,0.01145324814004576
log_return,rmse,60,0.011816015788361025,0.011923896547388603,0.011891561494466274,0.012131792238617486
log_return,smape,20,0.8679247528387632,0.8345524194098576,0.8319671920512696,0.8390408473699379
log_return,smape,60,0.8728307043482885,0.8227877557244234,0.8295613528990905,0.8277601174730573
