unique_id,qlike_garch,qlike_const,qlike_trail20
ADANIENT.NS,-6.520279748658967,-5.973297905604839,-6.55883359785702
ADANIPORTS.NS,-7.237700517694529,-6.894563173961233,-7.304723968670254
APOLLOHOSP.NS,-7.54127796728503,-7.295838131221472,-7.456716239582272
ASIANPAINT.NS,-7.61651128402389,-7.538792303067534,-7.510651345949009
AXISBANK.NS,-7.549513623618732,-6.968016558803662,-7.498556423834642
BAJAJ-AUTO.NS,-7.483720947830622,-7.275988398360889,-7.469155509431121
BAJAJFINSV.NS,-7.455612881211642,-6.131742011700939,-7.444540144610766
BAJFINANCE.NS,-5.5371252157291355,-4.732418953722652,-7.133921786488578
BHARTIARTL.NS,-7.730436858110104,-7.260892524671553,-7.685841299894959
BPCL.NS,-6.592518754291172,-6.252918181112607,-7.231896107605245
BRITANNIA.NS,-7.761410652299696,-7.558035200892657,-7.708026870752043
CIPLA.NS,-6.375102539459057,-4.681668121693241,-7.597354931099515
COALINDIA.NS,-7.7106736138743965,-7.457162549044857,-7.659490420992529
DIVISLAB.NS,-7.247674261623619,-7.041943973648831,-7.161138050985006
DRREDDY.NS,-7.144686145316567,-6.471082665242803,-7.5918840755135895
EICHERMOT.NS,-6.6270372059799145,-5.958154594977042,-7.576197477637419
GRASIM.NS,-6.7359470486498925,-6.3150477187813125,-7.62764021898097
HCLTECH.NS,-7.464012757337785,-7.105373367588107,-7.426793747740953
HDFCBANK.NS,-8.27657692334665,-7.589942995425947,-8.35278524008685
HDFCLIFE.NS,-7.720444170197797,-7.511859678370216,-7.752316717861582
HEROMOTOCO.NS,-7.2147458768147965,-7.173099732479401,-7.102844700696379
HINDALCO.NS,-7.193726044837098,-6.864347235011952,-7.120194711899032
HINDUNILVR.NS,-7.826853260658645,-7.619961227668128,-7.6717261624839646
ICICIBANK.NS,-8.061713541657848,-7.2767201897504545,-8.11361350066875
INDUSINDBK.NS,-6.370949368779237,-6.196112635019967,-5.897915294063545
INFY.NS,-7.2664083090865645,-7.083471817212745,-7.186113104789745
ITC.NS,-7.840511882365269,-7.552755842019955,-6.83696941095912
JSWSTEEL.NS,-7.341448428829686,-6.783117102439257,-7.1982302111408805
KOTAKBANK.NS,-6.210434651549557,-5.695637568971975,-7.584689648384136
LT.NS,-7.602464850102933,-7.015492436049158,-7.551250306448699
LTIM.NS,-7.237725196408557,-7.100461622488358,-7.129671768219651
M&M.NS,-7.255676241736023,-6.328482187598798,-7.2687615099996465
MARUTI.NS,-7.649621973822323,-7.38496470321961,-7.494458640314242
NESTLEIND.NS,-7.265208605658042,-7.275705476964995,-7.6389758699615875
NTPC.NS,-7.790190329192088,-7.512171329782381,-7.773565998507794
ONGC.NS,-7.558414165899931,-6.82255615663024,-7.63805420039543
POWERGRID.NS,-7.642712600034013,-7.43883831012275,-7.590579329811933
RELIANCE.NS,-7.2831872338626065,-6.65855328199296,-7.682172296267798
SBILIFE.NS,-7.802475260659516,-7.610700636200573,-7.818485011016077
SBIN.NS,-7.875520955035348,-7.29450891069311,-8.03162505489212
SHREECEM.NS,-7.73210849218033,-7.283700214293609,-7.778129113505863
SUNPHARMA.NS,-7.770625407908313,-7.286677546779419,-7.761258118813423
TATACONSUM.NS,-7.484507764488646,-7.208451708804161,-7.38697785847714
TATASTEEL.NS,-5.735466864785576,-4.256295637910393,-6.9495046913233125
TCS.NS,-7.150842505275828,-7.002702010937373,-7.639195832133218
TECHM.NS,-7.342653710433513,-7.082323207808937,-7.265436006126775
TITAN.NS,-7.623117575711682,-6.966517212226467,-7.612043969395492
ULTRACEMCO.NS,-7.561345196930489,-6.998488937463053,-7.822022961185159
WIPRO.NS,-7.26194773320944,-6.364741172905444,-7.219991324684545
